id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
secold,https://lod-cloud.net/dataset/secold,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
qboairbase,https://lod-cloud.net/dataset/qboairbase,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
intervalue,https://lod-cloud.net/dataset/intervalue,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
jrc-names-mlode,https://lod-cloud.net/dataset/jrc-names-mlode,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
ecco-tcp-linked-data,https://lod-cloud.net/dataset/ecco-tcp-linked-data,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
eventkg,https://lod-cloud.net/dataset/eventkg,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
linked-open-vocabularies-lov,https://lod-cloud.net/dataset/linked-open-vocabularies-lov,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
twc-hub,https://lod-cloud.net/dataset/twc-hub,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
geoecuador,https://lod-cloud.net/dataset/geoecuador,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
loc,https://lod-cloud.net/dataset/loc,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
warsampo,https://lod-cloud.net/dataset/warsampo,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbpedia-commons,https://lod-cloud.net/dataset/dbpedia-commons,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-webscience,https://lod-cloud.net/dataset/rkb-explorer-webscience,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
desaparecidos,https://lod-cloud.net/dataset/desaparecidos,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
brazilian-politicians,https://lod-cloud.net/dataset/brazilian-politicians,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbpedia-fr,https://lod-cloud.net/dataset/dbpedia-fr,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbpedia-ja,https://lod-cloud.net/dataset/dbpedia-ja,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dbpedia-nl,https://lod-cloud.net/dataset/dbpedia-nl,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
semsol-crunchbase,https://lod-cloud.net/dataset/semsol-crunchbase,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
data-gov-ie,https://lod-cloud.net/dataset/data-gov-ie,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
beneficiaries-of-the-european-commission,https://lod-cloud.net/dataset/beneficiaries-of-the-european-commission,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
caligraph,https://lod-cloud.net/dataset/caligraph,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
webisalod,https://lod-cloud.net/dataset/webisalod,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
notIdentifier,https://lod-cloud.net/dataset/notIdentifier,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dbkwik,https://lod-cloud.net/dataset/dbkwik,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
wordlift-io-blog-it,https://lod-cloud.net/dataset/wordlift-io-blog-it,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
vulnerapedia,https://lod-cloud.net/dataset/vulnerapedia,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
rdflicense,https://lod-cloud.net/dataset/rdflicense,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
uberblic,https://lod-cloud.net/dataset/uberblic,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
iserve,https://lod-cloud.net/dataset/iserve,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
open-election-data-project,https://lod-cloud.net/dataset/open-election-data-project,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
linklion,https://lod-cloud.net/dataset/linklion,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dbpedia-lite,https://lod-cloud.net/dataset/dbpedia-lite,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
linked-user-feedback,https://lod-cloud.net/dataset/linked-user-feedback,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
nom,https://lod-cloud.net/dataset/nom,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
serendipity,https://lod-cloud.net/dataset/serendipity,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
associations,https://lod-cloud.net/dataset/associations,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
provenanceweb,https://lod-cloud.net/dataset/provenanceweb,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
whisky-circle-info,https://lod-cloud.net/dataset/whisky-circle-info,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
austrian_ski_racers,https://lod-cloud.net/dataset/austrian_ski_racers,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
linked-drugs,https://lod-cloud.net/dataset/linked-drugs,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
smartlink,https://lod-cloud.net/dataset/smartlink,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
nhs-jargon,https://lod-cloud.net/dataset/nhs-jargon,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
uriburner,https://lod-cloud.net/dataset/uriburner,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
temple-ov-thee-lemur-datasets,https://lod-cloud.net/dataset/temple-ov-thee-lemur-datasets,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
imagesnippets,https://lod-cloud.net/dataset/imagesnippets,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
lexvo-org,https://lod-cloud.net/dataset/lexvo-org,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
epa-tri,https://lod-cloud.net/dataset/epa-tri,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
googleart-wrapper,https://lod-cloud.net/dataset/googleart-wrapper,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
the-view-from,https://lod-cloud.net/dataset/the-view-from,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbpedia,https://lod-cloud.net/dataset/dbpedia,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
geonames-semantic-web,https://lod-cloud.net/dataset/geonames-semantic-web,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
linkedgeodata,https://lod-cloud.net/dataset/linkedgeodata,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
fishes-of-texas,https://lod-cloud.net/dataset/fishes-of-texas,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
thist,https://lod-cloud.net/dataset/thist,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
environmental-applications-reference-thesaurus,https://lod-cloud.net/dataset/environmental-applications-reference-thesaurus,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
oceandrilling-janusamp,https://lod-cloud.net/dataset/oceandrilling-janusamp,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
oceandrilling-codices,https://lod-cloud.net/dataset/oceandrilling-codices,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
norwegian-geo-divisions,https://lod-cloud.net/dataset/norwegian-geo-divisions,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
eventseer,https://lod-cloud.net/dataset/eventseer,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
Smart_POI_dataset,https://lod-cloud.net/dataset/Smart_POI_dataset,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
los_metar,https://lod-cloud.net/dataset/los_metar,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
pleiades,https://lod-cloud.net/dataset/pleiades,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
riese,https://lod-cloud.net/dataset/riese,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
oceandrilling-forams,https://lod-cloud.net/dataset/oceandrilling-forams,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
world-wide-web-foundation,https://lod-cloud.net/dataset/world-wide-web-foundation,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
fao-geopolitical-ontology,https://lod-cloud.net/dataset/fao-geopolitical-ontology,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
taiwan-geographic-names,https://lod-cloud.net/dataset/taiwan-geographic-names,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
GTS-ont,https://lod-cloud.net/dataset/GTS-ont,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
linked-uspto-patent-data,https://lod-cloud.net/dataset/linked-uspto-patent-data,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
statusnet-ldn-fai-net,https://lod-cloud.net/dataset/statusnet-ldn-fai-net,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
geolinkeddata,https://lod-cloud.net/dataset/geolinkeddata,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
grrp,https://lod-cloud.net/dataset/grrp,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
geological-survey-of-austria-thesaurus,https://lod-cloud.net/dataset/geological-survey-of-austria-thesaurus,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
statusnet-hii-co-il,https://lod-cloud.net/dataset/statusnet-hii-co-il,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
osm-semantic-network,https://lod-cloud.net/dataset/osm-semantic-network,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
linked-logainm,https://lod-cloud.net/dataset/linked-logainm,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
yahoo_geoplanet,https://lod-cloud.net/dataset/yahoo_geoplanet,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
ordnance-survey-linked-data,https://lod-cloud.net/dataset/ordnance-survey-linked-data,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
telegraphis,https://lod-cloud.net/dataset/telegraphis,2,1,2,2,2,0,2,2,0,0,2,2,7,2,4,4,17
GTS,https://lod-cloud.net/dataset/GTS,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
Earthquake,https://lod-cloud.net/dataset/Earthquake,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
grrt,https://lod-cloud.net/dataset/grrt,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
statusnet-coreyavis-com,https://lod-cloud.net/dataset/statusnet-coreyavis-com,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
greek-administrative-geography,https://lod-cloud.net/dataset/greek-administrative-geography,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
geowordnet,https://lod-cloud.net/dataset/geowordnet,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
eea-vocabularies,https://lod-cloud.net/dataset/eea-vocabularies,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
Earthquake_case,https://lod-cloud.net/dataset/Earthquake_case,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
lobid-organisations,https://lod-cloud.net/dataset/lobid-organisations,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
Uganda-Disasters-rdf-data_,https://lod-cloud.net/dataset/Uganda-Disasters-rdf-data_,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
linkedcrowdsourceddata,https://lod-cloud.net/dataset/linkedcrowdsourceddata,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
openmobilenetwork,https://lod-cloud.net/dataset/openmobilenetwork,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
uk-postcodes,https://lod-cloud.net/dataset/uk-postcodes,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
nuts-geovocab,https://lod-cloud.net/dataset/nuts-geovocab,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
near,https://lod-cloud.net/dataset/near,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
knoesis-linked-sensor-data,https://lod-cloud.net/dataset/knoesis-linked-sensor-data,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-dev-local-authority-services,https://lod-cloud.net/dataset/opendatacommunities-dev-local-authority-services,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
esd-standards,https://lod-cloud.net/dataset/esd-standards,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-transparency-impact-indicators-troubled-families,https://lod-cloud.net/dataset/opendatacommunities-transparency-impact-indicators-troubled-families,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
reference-data-gov-uk,https://lod-cloud.net/dataset/reference-data-gov-uk,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
statistics-data-gov-uk,https://lod-cloud.net/dataset/statistics-data-gov-uk,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
open-energy-info-wiki,https://lod-cloud.net/dataset/open-energy-info-wiki,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dbpedia,https://lod-cloud.net/dataset/dbpedia,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-cuzk-legal-relationships-documents,https://lod-cloud.net/dataset/cz-cuzk-legal-relationships-documents,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-cuzk-cadastre-offices,https://lod-cloud.net/dataset/cz-cuzk-cadastre-offices,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
govtrack,https://lod-cloud.net/dataset/govtrack,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-homelessness-households-accommodated-temporary-housing-types,https://lod-cloud.net/dataset/opendatacommunities-homelessness-households-accommodated-temporary-housing-types,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
english-index-of-multiple-deprivation-ranking-2010,https://lod-cloud.net/dataset/english-index-of-multiple-deprivation-ranking-2010,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
odc-lsoa,https://lod-cloud.net/dataset/odc-lsoa,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
uk-legislation-api,https://lod-cloud.net/dataset/uk-legislation-api,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
fu-berlin-eurostat,https://lod-cloud.net/dataset/fu-berlin-eurostat,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
eurostat-rdf,https://lod-cloud.net/dataset/eurostat-rdf,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cipfa,https://lod-cloud.net/dataset/cipfa,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-cenia-irz-chemicals,https://lod-cloud.net/dataset/cz-cenia-irz-chemicals,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-cenia-pollution,https://lod-cloud.net/dataset/cz-cenia-pollution,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-homelessness-acceptances-per-1000,https://lod-cloud.net/dataset/opendatacommunities-homelessness-acceptances-per-1000,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
cz-czso-job-applicants-and-unemployment-rate,https://lod-cloud.net/dataset/cz-czso-job-applicants-and-unemployment-rate,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-ruian,https://lod-cloud.net/dataset/cz-ruian,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
data-gov-uk-time-intervals,https://lod-cloud.net/dataset/data-gov-uk-time-intervals,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
education-data-gov-uk,https://lod-cloud.net/dataset/education-data-gov-uk,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
research-data-gov-uk,https://lod-cloud.net/dataset/research-data-gov-uk,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
government-web-integration-for-linked-data,https://lod-cloud.net/dataset/government-web-integration-for-linked-data,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-wellbeing-lsoa-happy-yesterday-mean,https://lod-cloud.net/dataset/opendatacommunities-wellbeing-lsoa-happy-yesterday-mean,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
transport-data-gov-uk,https://lod-cloud.net/dataset/transport-data-gov-uk,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-transparency-impact-indicators-households-in-temporary-accommodation,https://lod-cloud.net/dataset/opendatacommunities-transparency-impact-indicators-households-in-temporary-accommodation,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
london-gazette,https://lod-cloud.net/dataset/london-gazette,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-imd-rank-2010,https://lod-cloud.net/dataset/opendatacommunities-imd-rank-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-societal-wellbeing-deprivation-imd-rank-2010,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-rank-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatascotland-simd-crime-rank,https://lod-cloud.net/dataset/opendatascotland-simd-crime-rank,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
gemet,https://lod-cloud.net/dataset/gemet,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
umthes,https://lod-cloud.net/dataset/umthes,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-ctia-focus,https://lod-cloud.net/dataset/cz-ctia-focus,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-ctia-inspections,https://lod-cloud.net/dataset/cz-ctia-inspections,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-czso-regions,https://lod-cloud.net/dataset/cz-czso-regions,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-ovm-agendas,https://lod-cloud.net/dataset/cz-ovm-agendas,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-ovm,https://lod-cloud.net/dataset/cz-ovm,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
ocd,https://lod-cloud.net/dataset/ocd,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-impact-indicators-energy-efficiency-new-builds,https://lod-cloud.net/dataset/opendatacommunities-impact-indicators-energy-efficiency-new-builds,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
prelex,https://lod-cloud.net/dataset/prelex,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
environment-agency-bathing-water-quality,https://lod-cloud.net/dataset/environment-agency-bathing-water-quality,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-ic,https://lod-cloud.net/dataset/cz-ic,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatascotland-simd-health-rank,https://lod-cloud.net/dataset/opendatascotland-simd-health-rank,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
enakting-mortality,https://lod-cloud.net/dataset/enakting-mortality,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
public-spending-in-greece,https://lod-cloud.net/dataset/public-spending-in-greece,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
imf-linked-data,https://lod-cloud.net/dataset/imf-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
bfs-linked-data,https://lod-cloud.net/dataset/bfs-linked-data,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
ecb-linked-data,https://lod-cloud.net/dataset/ecb-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
fao-linked-data,https://lod-cloud.net/dataset/fao-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
transparency-linked-data,https://lod-cloud.net/dataset/transparency-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
world-bank-linked-data,https://lod-cloud.net/dataset/world-bank-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-wellbeing-worthwhile-mean,https://lod-cloud.net/dataset/opendatacommunities-wellbeing-worthwhile-mean,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
dataturcyl-lod-for-tourists-in-castilla-y-leon-spain,https://lod-cloud.net/dataset/dataturcyl-lod-for-tourists-in-castilla-y-leon-spain,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-czso-unemployment-rate,https://lod-cloud.net/dataset/cz-czso-unemployment-rate,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
linkedspending,https://lod-cloud.net/dataset/linkedspending,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
eu-agencies-bodies,https://lod-cloud.net/dataset/eu-agencies-bodies,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
tip,https://lod-cloud.net/dataset/tip,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-ctia-confiscations,https://lod-cloud.net/dataset/cz-ctia-confiscations,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-transparency-impact-indicators-affordable-housing-starts,https://lod-cloud.net/dataset/opendatacommunities-transparency-impact-indicators-affordable-housing-starts,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-societal-wellbeing-deprivation-imd-employment-score-2010,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-employment-score-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-societal-wellbeing-deprivation-imd-rank-la-2010,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-rank-la-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-transparency-input-indicators-local-authority-funding-from-government-grant,https://lod-cloud.net/dataset/opendatacommunities-transparency-input-indicators-local-authority-funding-from-government-grant,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
the-eurostat-linked-data,https://lod-cloud.net/dataset/the-eurostat-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-households-projections-totalhouseolds,https://lod-cloud.net/dataset/opendatacommunities-households-projections-totalhouseolds,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
cz-sao-audited-subjects,https://lod-cloud.net/dataset/cz-sao-audited-subjects,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-ares-or,https://lod-cloud.net/dataset/cz-ares-or,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
